sentence	label
The recent development of BC6ENTG antagonists devoid of clinical sedative effects has enabled the administration of doses of BC6OTHER - antihistamines which achieve a greater degree of BC6OTHER blockade within the airways , thus permitting a better appraisal of the role of BC6ENTC in this condition.	CPR:5
The recent development of BC6OTHER antagonists devoid of clinical sedative effects has enabled the administration of doses of BC6ENTG - antihistamines which achieve a greater degree of BC6OTHER blockade within the airways , thus permitting a better appraisal of the role of BC6ENTC in this condition.	False
The recent development of BC6OTHER antagonists devoid of clinical sedative effects has enabled the administration of doses of BC6OTHER - antihistamines which achieve a greater degree of BC6ENTG blockade within the airways , thus permitting a better appraisal of the role of BC6ENTC in this condition.	CPR:5
BC6ENTG antagonists have been utilized , following their initial chemical synthesis in 1933 , both in the treatment of conditions in which BC6OTHER is considered to be of pathogenic importance and conversely to help elucidate the role of BC6ENTC in disease , through an evaluation of their influence on disease expression.	CPR:5
Thus while both these agents offer the potential of an oral therapy for asthma based on an BC6ENTG antagonist , their additional actions do not make them ideally suited to the exploration of the role of BC6ENTC in asthma.	False
While there is considerable indirect evidence to implicate BC6ENTC in the pathogenesis of asthma , a critical evaluation of BC6ENTG antagonism in this condition has , until recently , proved difficult , as many of the early BC6OTHER antagonists possessed additional actions , such as anti - cholinergic , local anaesthetic , BC6OTHER antagonistic and anti - CHEM activity.	CPR:5
While there is considerable indirect evidence to implicate BC6ENTC in the pathogenesis of asthma , a critical evaluation of BC6OTHER antagonism in this condition has , until recently , proved difficult , as many of the early BC6ENTG antagonists possessed additional actions , such as anti - cholinergic , local anaesthetic , BC6OTHER antagonistic and anti - CHEM activity.	CPR:5
While there is considerable indirect evidence to implicate BC6ENTC in the pathogenesis of asthma , a critical evaluation of BC6OTHER antagonism in this condition has , until recently , proved difficult , as many of the early BC6OTHER antagonists possessed additional actions , such as anti - cholinergic , local anaesthetic , BC6ENTG antagonistic and anti - CHEM activity.	False
 BC6ENTC and asthma: an appraisal based on specific BC6ENTG antagonism.	False
BC6ENTC (10.0 mg / kg) had lesser effect than other CB agonists , and the BC6ENTG agonist BC6OTHER [ BC6OTHER ] , the BC6OTHER transport inhibitor BC6OTHER , and the CB antagonist BC6OTHER did not have diuretic effects.	False
BC6OTHER (10.0 mg / kg) had lesser effect than other CB agonists , and the BC6ENTG agonist BC6ENTC [ BC6OTHER ] , the BC6OTHER transport inhibitor BC6OTHER , and the CB antagonist BC6OTHER did not have diuretic effects.	CPR:5
BC6OTHER (10.0 mg / kg) had lesser effect than other CB agonists , and the BC6ENTG agonist BC6OTHER [ BC6ENTC ] , the BC6OTHER transport inhibitor BC6OTHER , and the CB antagonist BC6OTHER did not have diuretic effects.	CPR:5
BC6OTHER (10.0 mg / kg) had lesser effect than other CB agonists , and the BC6ENTG agonist BC6OTHER [ BC6OTHER ] , the BC6ENTC transport inhibitor BC6OTHER , and the CB antagonist BC6OTHER did not have diuretic effects.	False
BC6OTHER (10.0 mg / kg) had lesser effect than other CB agonists , and the BC6ENTG agonist BC6OTHER [ BC6OTHER ] , the BC6OTHER transport inhibitor BC6ENTC , and the CB antagonist BC6OTHER did not have diuretic effects.	CPR:5
BC6OTHER (10.0 mg / kg) had lesser effect than other CB agonists , and the BC6ENTG agonist BC6OTHER [ BC6OTHER ] , the BC6OTHER transport inhibitor BC6OTHER , and the CB antagonist BC6ENTC did not have diuretic effects.	False
In further studies , the diuretic effects of the BC6ENTG agonist BC6ENTC were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6OTHER antagonist BC6OTHER , nor were the effects of BC6OTHER antagonized by the BC6OTHER antagonist BC6OTHER [ BC6OTHER ].	CPR:5
In further studies , the diuretic effects of the BC6OTHER agonist BC6ENTC were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6ENTG antagonist BC6OTHER , nor were the effects of BC6OTHER antagonized by the BC6OTHER antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6OTHER agonist BC6ENTC were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6OTHER antagonist BC6OTHER , nor were the effects of BC6OTHER antagonized by the BC6ENTG antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6ENTG agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6ENTC , but not by the BC6OTHER antagonist BC6OTHER , nor were the effects of BC6OTHER antagonized by the BC6OTHER antagonist BC6OTHER [ BC6OTHER ].	CPR:6
In further studies , the diuretic effects of the BC6OTHER agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6ENTC , but not by the BC6ENTG antagonist BC6OTHER , nor were the effects of BC6OTHER antagonized by the BC6OTHER antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6OTHER agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6ENTC , but not by the BC6OTHER antagonist BC6OTHER , nor were the effects of BC6OTHER antagonized by the BC6ENTG antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6ENTG agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6ENTC receptor type I antagonist BC6OTHER , nor were the effects of BC6OTHER antagonized by the BC6OTHER antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6OTHER agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6ENTC receptor type I antagonist BC6OTHER , nor were the effects of BC6OTHER antagonized by the BC6ENTG antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6ENTG agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6OTHER antagonist BC6ENTC , nor were the effects of BC6OTHER antagonized by the BC6OTHER antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6OTHER agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6ENTG antagonist BC6ENTC , nor were the effects of BC6OTHER antagonized by the BC6OTHER antagonist BC6OTHER [ BC6OTHER ].	CPR:6
In further studies , the diuretic effects of the BC6OTHER agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6OTHER antagonist BC6ENTC , nor were the effects of BC6OTHER antagonized by the BC6ENTG antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6ENTG agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6OTHER antagonist BC6OTHER , nor were the effects of BC6ENTC antagonized by the BC6OTHER antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6OTHER agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6ENTG antagonist BC6OTHER , nor were the effects of BC6ENTC antagonized by the BC6OTHER antagonist BC6OTHER [ BC6OTHER ].	False
In further studies , the diuretic effects of the BC6OTHER agonist BC6OTHER were similar in male and female rats , displayed a relatively rapid onset to action , and were dose - dependently antagonized by 30 minutes pretreatment with BC6OTHER , but not by the BC6OTHER antagonist BC6OTHER , nor were the effects of BC6ENTC antagonized by the BC6ENTG antagonist BC6OTHER [ BC6OTHER ].	CPR:5
