yesno_label	question	ideal_answer
1	Are ultraconserved enhancers important for normal development?	ultraconserved enhancers are required for normal development.
1	Are BBS mutations involved in syndromic Hirschsprung disease?	In 3 families with Bardet-Biedl syndrome (BBS) and Hirschsprung disease (HSCR), concomitant mutations in BBS genes and regulatory RET elements have been identified. Analysis of the data suggests that BBS mutations can potentiate HSCR predisposing RET alleles, which by themselves are insufficient to cause disease.
1	Are high-flow nasal cannulae effective for treatment of preterm infants?	The use of high-flow nasal cannulae is an increasingly popular alternative to nasal continuous positive airway pressure for noninvasive respiratory support of preterm infants after extubation. However, the use of high-flow nasal cannulae in preterm infants was shown to be associated with a higher rate of reintubation, increased exposure to oxygen and longer duration of respiratory support. High-flow nasal cannulae are also effective for treatment of apnea of prematurity.
1	Is baricitinib effective for rheumatoid arthritis?	baricitinib is effective treatment of rheumatoid arthritis.
1	Is autophagy the process where bacteria ingest viral particles?	Autophagy, a cellular degradation process
0	Is cilengitide effective for treatment of glioblastoma?	cilengitide does not improve survival of glioblastoma (GBM) patients. Cilengitide is a cyclic pentapeptide that demonstrated efficacy for GBM treatment by targeting the integrins avβ3 and avβ5 over-expressed on GBM cells. However, randomized phase III CENTRIC and phase II CORE trials explored failed to meet their primary endpoints. However, in CORE, higher αvβ3 levels in tumor cells were associated with improved progression-free survival by central review and with improved overall survival in patients treated with cilengitide. Analysis of randomized clinical trials of antiangiogenic drugs (including cilengitide) showed no improvement in overall survival and a trend for an inferior outcome, in terms of overall survival, in patients receiving antiangiogenic drug alone compared to cytotoxic drug alone.
1	Are there plasma membrane receptors for thyroid hormones?	Receptors for thyroid hormones are present on plasma membrane of cells; in particular thyroid hormones bind integrin that is a heterodimeric component of plasma membrane
1	Does cortical spreading depression appear in ischemic penumbra following ischemic stroke?	cortical spreading depression appears in ischemic penumbra following ischemic stroke and is associated with expansion of ischemic injury. This has been shown in humans and in animal models.
0	Is enzastaurin effective treatment of glioblastoma?	Enzastaurin does not improve prognosis of glioblastoma patients.
1	Is Vitamin D deficiency in pregnant women associated with gestational diabetes?	there are multiple studies reporting an association between low VitD in pregnancy and impaired glucose tolerance, but it is not entirely clear if this translates directly to the increased risk of Gestational diabetes or via maternal obesity and/or genetic polymorphisms.
1	Is valproic acid effective for glioblastoma treatment?	valproic acid prolong survival of glioblastoma patients. Valproic acid is an antiepileptic agent with histone deacetylase inhibitor activity shown to sensitize glioblastoma cells to radiation in preclinical models.
1	"Is there an association between c-reactive protein concentrations and outcomes of subarachnoid hemorrhage patients? "	Higher concentrations of C-reactive protein are associated with worse outcomes of subarachnoid hemorrhage patients.
0	Is the ACE inhibitor indicated for lung cancer treatment?	the angiotensin converting enzyme (ACE) inhibitors are used widely as antihypertensive agents. On the contrary, it has been suggested that they decrease the risk of some cancers, although available data are conflicting. One study proposes that captopril could be a promising option for the treatment of lung cancer. Furthermore, angiotensin-converting enzyme (ACE) inhibitors have been shown to mitigate radiation-induced lung injury in preclinical models
1	Is marijuana use associated with increased risk for stroke?	the use of marijuana is associated with increased risk for ischemic stroke, especially in young adults. The mechanisms underlying such association remain largely unclear, but increased vascular reactivity and increased cerebrovascular resistance were implicated.
1	Do Parkinson's disease patients experience stridor?	Stridor has been described in Parkinon's disease patients. Stridor has been linked to deep brain stimulation and L-Dopa medication use.  However, stridor was shown to be more common in multiple system atrophy patients.
1	Is Calcium homeostasis important in cardiac physiology and pathophysiology?	Calcium homeostasis is very important in cardiac physiology and pathophysiology. Maintenance of cellular calcium homeostasis is critical to regulating  cardiac contraction. Abnormalities in calcium homeostasis underlie cardiac arrhythmia, contractile dysfunction and cardiac remodelling.
1	Are there Conserved Noncoding Elements (CNEs) in plant genomes?	The detailed view of conservation across angiosperms revealed not only high coding-sequence conservation but also a large set of previously uncharacterized intergenic conservation. Grass genes have dramatically fewer and much smaller CNSs than mammalian genes. Using an alignment-free information-retrieval approach, we have comprehensively identified all long identical multispecies elements (LIMEs), which include both syntenic and nonsyntenic regions, of at least 100 identical base pairs shared by at least two genomes. Using a comparative genomics approach with four dicotyledonous plant species (Arabidopsis thaliana, papaya [Carica papaya], poplar [Populus trichocarpa], and grape [Vitis vinifera]), we detected hundreds of CNSs upstream of Arabidopsis genes. We consequently compared the genomes of Arabidopsis thaliana and rice, which diverged about 200 million years ago, and identified 25 ultraconserved elements that are longer than 100 bp. Using a local sequence alignment set to deliver only significant alignments, we found one or more CNSs in the noncoding regions of the majority of genes studied.
1	Is paroxetine effective for treatment of premenstrual dysphoric disorder?	paroxetine is effective and FDA approved treatment of women with  premenstrual dysphoric disorder. A number of well designed clinical trials have confirmed efficacy and safety of both continuous or intermittent regiments of paroxetine for treatment of premenstrual dysphoric disorder. A number of other antidepressants and hormaonal therapies were also shown to be effective and are FDA approved for treatment of women with premenstrual dysphoric disorder.
1	Is vemurafenib used for thyroid cancer?	Vemurafenib, a selective BRAF inhibitor, appears to have promising clinical activity in patients with papillary thyroid cancer (PTC) harboring the BRAF(V600E) mutation.
1	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome is a variant of Guillain-Barre syndrome characterized by the classic triad of ophthalmoplegia, ataxia, and areflexia
1	Are there enhancer RNAs (eRNAs)?	Active enhancers are transcribed, producing a class of noncoding RNAs called enhancer RNAs (eRNAs). eRNAs are distinct from long noncoding RNAs (lncRNAs), but these two species of noncoding RNAs may share a similar role in the activation of mRNA transcription.
1	Are there microbes in human breast milk?	human milk is a rich source of diverse bacteria.
0	Is there any approved treatment for NAFLD?	Nonalcoholic fatty liver disease (NAFLD) is the most prevalent liver disease worldwide, and there is no approved pharmacotherapy.
1	Is the crystal structure of Pim-1 available?	The crystal structures of Pim1 in apo form and bound with AMPPNP have been solved
0	Is Lennox-Gastaut Syndrome usually diagnosed in older adults?	children with Lennox-Gastaut syndrome Lennox-Gastaut syndrome (LGS) is a severe pediatric epilepsy syndrome characterized by mixed seizures, cognitive decline, and generalized slow (<3 Hz) spike wave discharges on electroencephalography
1	Could hypophosphatemic rickets cause craniosynostosis?	hypophosphatemic rickets could cause craniosynostosis.
1	Is c-met involved in the activation of the Akt pathway?	HGF-induced activation of c-Met is playing a pivotal role in the stimulation of c-Src activation, resulting in induction of phosphatidylinositol 3-kinase complexes p85α/p110α and p85α/p110δ, which is required for Akt-mediated activation of mammalian target of rapamycin, with consequent inhibition of IκB kinase and nuclear factor-κB activation, resulting in enhanced cell survival.
1	Is there any role of interleukin-11 in cardiovascular fibrosis?	Interleukin 11 (IL11) upregulation is the dominant transcriptional response to TGFB1 exposure and required for its profibrotic effect. IL11 and its receptor (IL11RA) are expressed specifically in fibroblasts where they drive non-canonical, ERK-dependent autocrine signalling that is required for fibrogenic protein synthesis. In mice, fibroblast-specific Il11 transgene expression or Il11 injection causes heart and kidney fibrosis and organ failure whereas genetic deletion of Il11ra1 is protective against disease. Thus, inhibition of IL11 prevents fibroblast activation across organs and species in response to a range of important pro-fibrotic stimuli.
1	Is aganglionic megacolon a feature of Down syndrome?	Down syndrome (DS) is recognized by characteristic facial features, intellectual disability, and an increased risk for cardiac malformations and duodenal atresia. Recently, Hirschsprung disease (HSCR), or congenital aganglionic megacolon, has been seen more often among patients with DS.
0	Does administration of triiodothyronine improve outcome following coronary artery bypass grafting?	Perioperative administration of synthetic thyroid hormone therapy have positive hemodynamic effects (consisting of increases cardiac output, lowered systemic vascular resistance) determining improved postoperative ventricular function, reduced the need for treatment with inotropic agents and mechanical devices, in the absence of relevant effects on outcome ad exception of lower incidence of atrial fibrillation.
0	Is pazopanib an effective treatment of glioblastoma?	Pazopanib does not improve survival of glioblastoma patients.
1	Have mutations in the ZEB2 gene been found in any human syndrome?	the Mowat-Wilson syndrome
1	Is Prochlorococcus the most abundant photosynthetic organism?	the marine cyanobacterium Prochlorococcus is the smallest and most abundant photosynthetic organism on Earth.
1	Have Quantitative Trait Loci affecting splicing (splicing QTLs) been linked to disease?	mutations in the DNA that affect the splicing pattern of genes have been linked in transcriptome population studies to a number of diseases.
1	Is protein M3/6 a dual specificity phosphatase?	M3/6 (DUSP8) is a dual-specificity phosphatase implicated in the dephosphorylation and inactivation of JNK and, to a lesser extent, p38 MAPKs.
1	Is TENS machine effective in pain?	Transcutaneous electrical nerve stimulation is widely used in pain management
0	Is L-4F an apoE mimetic peptide?	L-4F is an apoA-I mimetic peptide.
1	Are AAV vectors considered for the treatment of retinal dystrophies?	AAV vectors are considered for the treatment of retinal dystrophies.
0	Are stress granules membraneous?	Stress granules (SG) are membrane-less compartments involved in regulating mRNAs during stress.
1	As of Feb 2019, are major brain gangliosides a target for the treatment of Alzheimer's disease?	As of Feb 2019, major brain gangliosides are proposed as a target for the treatment of Alzheimer's disease.
